噶哈巫語,華語,kaxabu_mt,華語_clean
yaku kalamik’en lia.,「我受寒了。」,masaniq iza a.,我受寒了。
yaku ohoni kamaakux’en lia.,「我今天熱到了。」,Hanini yaku mainit.,我今天熱到了。
imini a saw kabusukan lia.,「這個人酒醉了」,uminum adu ini tao la,這個人酒醉了
mituku lia.,「坐了。」,mintuduk.,坐了。
usa midem!,「去睡！」,turuq!,去睡！
idem’ina!,「請睡！」,turu!,請睡！
mukusa binayu madu tilikas.,「去山上放陷阱。」,Mala i babaw mitesek.,去山上放陷阱。
isiw a pai adu’i iak hann.,「你的錢放好哦！」,Sapep maayo piso su!,你的錢放好哦！
ohoni ini mudan.,「今天沒下雨。」,Anini sa’a udan.,今天沒下雨。
ohoni ka kuang a udan.,「今天沒有雨。」,Anini miza uran.,今天沒有雨。
mungazip yaku haki wazu.,「狗咬我。」,Asu kagat yaku.,狗咬我。
mututing yaku haki atun.,「Atun 打我。」,Atun mibabak kaniaku.,Atun 打我。
yaku mudok isiw a mizazuk a dalum.,「我喝你的水。」,Uminum yaku danum ni isu.,我喝你的水。
yaku mukusa musapoh daan.,「我去掃馬路。」,Iku mangay misapu tu dalan.,我去掃馬路。
titay ngazip’en ni balan lia.,「老鼠被貓咬了。」,Kinagat ni pusa i daga.,老鼠被貓咬了。
yaku a balax ka sakaw’en saw lia.,「我的工具被人偷了。」,tinakaw gongju-ku,我的工具被人偷了。
salaman maa’en naki lia.,「碗被我拿走了。」,tasa ala-en ni aku,碗被我拿走了。
yaku a aitukuan doko’en saw lia.,「我的椅子被人抬走了。」,inala isu=ku,我的椅子被人抬走了。
binayu a bauzak kumuk’en naki a aba lia.,「山豬被我父親抓到了。」,Babuy a tano na-sap-en ni ama=ku.,山豬被我父親抓到了。
tuting’en ni aba lia.,「被父親打了。」,palu-en ni ama,被父親打了。
tuting’en saw lia.,「被人打了。」,ini patek-en ni tao.,被人打了。
sinaw’en naki lia.,「被我洗了。」,laba-en ni aku,被我洗了。
doko’en saw lia.,「被人舉走了。」,ala-en ni tau.,被人舉走了。
mudok’en saw lia.,「被人喝了。」,inumen ni iza,被人喝了。
maa’en liaki salaman.,「碗被（我）拿走了。」,wan na-ala-en=ku,碗被（我）拿走了。
ngazip’en lia.,「被咬了。」,k-in-agat-en,被咬了。
sakaw’en lia.,「被偷了。」,naalaen,被偷了。
imini a wazu saanu imisiw mututing.,「這隻狗被他打。」,tukul-en ni iya ini a asu,這隻狗被他打。
yaku saana hazian a saw maahan lia.,「我被壞人騙了。」,Sbiyax-un yaku ni tau a adi mapia,我被壞人騙了。
nisiw a saabazu aitanana!,「你的肥皂請給我！」,sabon a isu hoo aku!,你的肥皂請給我！
muasak liaki aitukuan.,「椅子壞掉了。」,Isu maqabu'.,椅子壞掉了。
imini ka saanu siisinaw buxu.,「這用來洗身體。」,Ini tu mqoni bahi.,這用來洗身體。
yaku nahaza tuu a saanu biibizu.,「我有三枝用來寫的。」,wada turu a ka-sulat=ku,我有三枝用來寫的。
isiw ka nahaza saanu mutapok a ahan a lalawa bo?,「你有用來摀嘴的布（口罩）嗎？」,isu ka kouzhao?,你有用來摀嘴的布（口罩）嗎？
aba mututing akhéhén.,「父親打小孩。」,Ama mpalu sunis.,父親打小孩。
yaku a pai deken’en naki a baba lia.,「我的錢被我的伯父撿到。」,cini-ku na-ala ni kaka na ama-ku.,我的錢被我的伯父撿到。
maudanay lia.,「要下雨了。」,m-udan na.,要下雨了。
mudan lia.,「下雨了。」,uran iza.,下雨了。
pasakenay lia.,「將要到了。」,midatang hanini,將要到了。
pasaken lia.,「到了。」,ita ini.,到了。
alia mudan lia.,「要下雨了。」,Ma-udan ini.,要下雨了。
imini a akhéhan ka alia makuala lia.,「這個小孩要跌倒了。」,wawa ini mukidaw la.,這個小孩要跌倒了。
alia maziah lia.,「要熟了。」,kani matu na.,要熟了。
alia makait lia.,「要乾了。」,masipaq nia.,要乾了。
alia lia.,「差不多了。」,asaq na,差不多了。
alia mausay lia.,「（我）差不多要去了。」,Mangay na.,（我）差不多要去了。
alia pasakenay lia.,「差不多要到了。」,musa ma-tama la.,差不多要到了。
alia haaput midem lia.,「（我）差不多要睡了。」,Yaku musa squliq.,（我）差不多要睡了。
"kaidi tshay a teehen a uung lia, alia haaput mudan lia.",「在某處雲很黑了，差不多要下雨了。」,"Nubu maitem, qasi ma-udan.",在某處雲很黑了，差不多要下雨了。
mainu a iing ka haaput midem.,「腰痠就要休息。」,"Sakit ka liyaw, musa busax.",腰痠就要休息。
saw haaput mahatan yaku.,「人愛笑我。」,Tau matenay ka yaku.,人愛笑我。
yaku haaput isiw.,「我愛你。」,aku ai isu.,我愛你。
haaput mudan lia.,「要下雨了。」,ma-uran la.,要下雨了。
haaput mupuza lia.,「要來了。」,malai na.,要來了。
haaput mudawan.,「要洗澡。」,musa mqawas.,要洗澡。
haaput mudan lia.,「要下雨了。」,m-udan la.,要下雨了。
yaku a aba mayaw meneken.,「我的父親還沒吃完。」,ama-ku iza pa makan.,我的父親還沒吃完。
yaku meken dadas lia.,「我吃番薯了。」,iku minaen kociu.,我吃番薯了。
niam a takat mututing atun lia.,「我們的老師打 Atun 了。」,Singsi no ita mipalu Atun.,我們的老師打 Atun 了。
tuting’en nisiw a aba lia.,「被你父親打了。」,palu-en ni ama=su,被你父親打了。
yaku a balax ka sakaw’en saw lia.,「我的工具被人偷了。」,Gongju ku niawaten na tawu.,我的工具被人偷了。
yaku a aba meneken lia.,「我的父親吃完了。」,ama=ku kaen nia,我的父親吃完了。
meneken liaki yaku.,「我吃完了。」,mangan na yaku,我吃完了。
yaku haaput midem lia.,「我想要睡了。」,Iku qnahan maturog la.,我想要睡了。
yaku mausay humak lia.,「我要回家了。」,iku muliq.,我要回家了。
mudan lia.,「下雨了。」,mi-udan.,下雨了。
mabusuk lia.,「醉了。」,manguy yaku.,醉了。
tia lia.,「走了。」,ini manga,走了。
mudawan muuput lia.,「（我）洗完澡了。」,yaku misusu ini,（我）洗完澡了。
muuput a mudawan lia.,「（我）洗完澡了。」,midusa aku liaw,（我）洗完澡了。
yaku a aba mukukusa iak lia.,「我的父親工作好了。」,ama=ku pina macowa,我的父親工作好了。
musinaw iak liaka mausay palizak a lizak lia.,「洗好然後要去曬太陽了。」,Misusu na mangay pazalaw la.,洗好然後要去曬太陽了。
mudawan iak lia iu mayaw?,「洗好了還是還沒？」,mita masasu o ini pa?,洗好了還是還沒？
yaku a apu mudawan iak lia.,「我的祖父洗澡洗好了。」,apu-ku misasaw iza,我的祖父洗澡洗好了。
yaku kiikita babizu.,「我正在看書。」,Iku mita sa patas.,我正在看書。
yaku haaput mikita isiw.,「我想要看你。」,aku kakaay maita isu.,我想要看你。
yaku deedepex.,「我在讀書。」,Iku mita libru.,我在讀書。
yaku a aba masu yaku mukusa medepex.,「我的爸爸帶我去讀書。」,Ama-ku dama iku i sikolan.,我的爸爸帶我去讀書。
yaku a ina taatalek a saaken.,「我的母親正在煮菜。」,Iza ina-ku mi-lutu.,我的母親正在煮菜。
yaku mausay mutalek a sumay.,「我要去煮飯。」,iza malutu qanin,我要去煮飯。
kaidisiw tuutuun hapuy haka yaku a suazi mamais.,「在那邊正在起火的人就是我的妹妹。」,ira a mangapuy isaw ading=ku a vavay.,在那邊正在起火的人就是我的妹妹。
isiw a apu ka duila tshay?,「你的祖父去哪裡？」,Apu nu su musa inu?,你的祖父去哪裡？
kaidi angasat maidem.,「在床上睡覺。」,musaq i peta,在床上睡覺。
atun midem mades lia.,「Atun 睡很久了。」,Atun maturu lawa na.,Atun 睡很久了。
yaku maituku kaidini.,「我正坐在這裡。」,yaku mitingil i dini,我正坐在這裡。
yaku mituku kaidini.,「我坐在這裡。」,yaku tuduk tini,我坐在這裡。
paihélut lia.,「在尿尿了。」,mipisin aku.,在尿尿了。
péhélut iak liaka haaput musinaw ima.,「尿尿之後要洗手。」,"Ru niau-niao, musa misalu no lima do.",尿尿之後要洗手。
maudan lia.,「正在下雨了。」,m-udan.,正在下雨了。
mudan lia.,「下雨了。」,ma-udan.,下雨了。
yaku ohoni kiikita babizu.,「我現在在看書。」,Haniya yaku mita’ ceh.,我現在在看書。
yaku ohoni meken sumay.,「我現在在吃飯。」,Ini aku makan kanen.,我現在在吃飯。
atun ohoni medeken yaku a tatoko.,「Atun 現在在撿我的拐杖。」,Hianzai m-ala Atun ku guaizhang.,Atun 現在在撿我的拐杖。
usa mikita nuang hann!,「去看牛喔！」,Mangay mita baka!,去看牛喔！
usa aai tadaw hann!,「去拿刀喔！」,Mangay ala pisaw o!,去拿刀喔！
yaku mukusa mikita atun.,「我去看 Atun。」,yaku musa mita Atun,我去看 Atun。
dawan’i na!,「請洗澡！」,Malanus!,請洗澡！
zakay’i na!,「請走路！」,Malakat!,請走路！
taxa’i yaku na!,「請等我一下呀！」,hulat-en aku!,請等我一下呀！
sapik’i iu!,「貼藥！」,tie yao!,貼藥！
usa sinaw’i naki a siatu na!,「請去洗我的衣服！」,Musa m-laba ku badu!,請去洗我的衣服！
zuzut’i saaken iu sumay na!,「請裝菜和飯！」,Panga’ cai ka fan!,請裝菜和飯！
sinaw’i siatu!,「洗衣服！」,Laba tu kawas!,洗衣服！
sinaw’i siatu na!,「請洗衣服！」,Musa badu!,請洗衣服！
isiw a pai suzuk’i!,「你的錢藏起來！」,Siqaw sarapi ni isu!,你的錢藏起來！
isiw meken dahu hann!,「你要吃多一點喔！」,isu kan musa' o!,你要吃多一點喔！
alo tumala’ina!,「請來聽！」,Misa dengil!,請來聽！
alo sazek’ina!,「請來聞！」,mali longo!,請來聞！
huailo midem!,「快睡！」,turu la!,快睡！
huailo meken!,「快吃！」,Kaen!,快吃！
isiw pakinakaw!,「你慢慢地。」,Malumu isu.,你慢慢地。
pakinakaw a meken!,「慢慢吃！」,mangan misangay!,慢慢吃！
yaku talima eezaw mupuza mikita atun haé.,「我自己來看 Atun 而已喔。」,Iku mali mita Atun kani.,我自己來看 Atun 而已喔。
yaku a suazi meken ka maida hann.,「我的弟弟吃很快哦。」,adiku m-angan mrapit o,我的弟弟吃很快哦。
yaku a apu madiak a muzakay.,「我的祖父走路走很慢。」,Apuku zoulu hen man.,我的祖父走路走很慢。
ana midem!,「別睡！」,mai maturu!,別睡！
idem’ina!,「請睡！」,turu!,請睡！
ana meken putian a iu!,「別吃毒品！」,Musa kaen dupin!,別吃毒品！
alo meken’i sumay!,「來吃飯！」,mkaen ita!,來吃飯！
yami mututing a akhéhén.,「我們打小孩。」,Ita palu wawa.,我們打小孩。
yaku musapoh a humak.,「我掃家裡。」,aku misapu i ruma.,我掃家裡。
aba mututing yaku.,「父親打我。」,ama palo yaku.,父親打我。
balan mukumuk titay.,「貓抓老鼠。」,Pusa dakop tikus.,貓抓老鼠。
yaku ka meken sumay.,「我吃飯。」,ku m-akan,我吃飯。
imini ka musakaw yaku a pai.,「他偷我的錢。」,Iya nikaw tsian=ku.,他偷我的錢。
yaku a aba ka maida a muzakay.,「我的父親走路很快。」,Ama=ku malakal masapad.,我的父親走路很快。
yaku a aba muzakay maida.,「我的父親走路很快。」,ama-ku mangay mabrkis.,我的父親走路很快。
mades a mituku lia.,「坐很久了。」,tengil tirengay ini.,坐很久了。
mituku mades.,「坐很久。」,m-upu-upu,坐很久。
"yaku a kaaw asikit azawzaw, nang a muzakay lia.",「我的腳非常痛，不能走。」,"Matu masakit saka-ku, yaku ini makalako.",我的腳非常痛，不能走。
yaku maakux azawzaw.,「我非常熱。」,Mabanasbanas ku.,我非常熱。
yaku haaput maa taating a selem mausay yaku a batan a humak.,「我要拿一些豬肉去我的朋友的家。」,Aku mala kisay a babuy i ruma ni saki ni aku.,我要拿一些豬肉去我的朋友的家。
yaku a aba mahabay taating lia.,「我的父親舒服些了。」,ama-ku mahayaw kaka la,我的父親舒服些了。
yaku ka tahayak taating.,「我有一點累。」,iku malungus isa.,我有一點累。
meken dahu liaka baget taating lia.,「我吃很多然後變胖一些了。」,aku makan adu na tumaba saza,我吃很多然後變胖一些了。
midem taating.,「（我）睡一些。」,Mituru sazik.,（我）睡一些。
meseket taating.,「（我）休息一些。」,mispiq sazi.,（我）休息一些。
seket’i taating hann!,「休息一些哦！」,turuq dikiq a!,休息一些哦！
yaku mausay medepex.,「我要來去讀書。」,Kaku musa iskul.,我要來去讀書。
yaku mubaza mukawat kaxabu a ahan.,「我會說噶哈巫的話。」,Yaku quri Kaxabu.,我會說噶哈巫的話。
yaku haaput mikita isiw.,「我想要看你。」,iza ka mita isu,我想要看你。
yaku midahin.,「我感到驚嚇。」,iku matakut.,我感到驚嚇。
atun paidahin yaku.,「Atun 讓我感到驚嚇。」,Atun patakaw aku.,Atun 讓我感到驚嚇。
yaku a takat pasibaza yaku matoway.,「我的老師教我唱歌。」（字面：我的老師使我會唱歌）,Sinsi=ku pa-maka-kanta iku.,我的老師教我唱歌。」（字面：我的老師使我會唱歌）
yaku mubaza mukawat kaxabu a ahan.,「我會講噶哈巫的話。」,Yaku makavasa Kaxabu.,我會講噶哈巫的話。
pazakay haka mubaza.,「讓（他）走路，（他）就會知道。」,"Ipa iya milalan, iya ma-ita.",讓（他）走路，（他）就會知道。
"yaku a kaaw magizem hann, haaput muzakay.",「我的腳很健壯哦，愛走路。」,"Ku saka masiduq la, iku kaila m-laka’.",我的腳很健壯哦，愛走路。
pakamasezaw a nisiw a beket na!,「把你的頭髮弄乾淨一點吧！」,Bliq-en buhuq su diit la!,把你的頭髮弄乾淨一點吧！
yaku dauik ma ini mikita masezaw.,「我眼睛也沒有看清楚。」,Mata ni yaku ka’ay ini mita masaya.,我眼睛也沒有看清楚。
isiw ka tahayak say?,「你累嗎？」,mapais isu?,你累嗎？
pakahalupat taating ka iak a saanu mikita.,「（你）讓（它）長一點，較好看。」,"Pahaba sii, mapia na.",（你）讓（它）長一點，較好看。
patakan ka halupas.,「竹子很長。」,Kawayan malabalaba.,竹子很長。
biluan pakamuaping yaku a ukut.,「Biluan 弄破我的褲子。」,Saqiq-en ni Biluan subun-ku.,Biluan 弄破我的褲子。
isiw a ukut muaping lia.,「你的褲子破掉了。」,Mabusaq i patalun su.,你的褲子破掉了。
imisiw a akhéhén a siatu mupayak lia.,「那個小孩的衣服濕了」,Mabasa bahi ni mita a qanakan.,那個小孩的衣服濕了
aba mututing yaku.,「父親打我。」,Matek ama aku.,父親打我。
atun paidahin yaku.,「Atun 讓我感到驚嚇。」,Matakut yaku ci Atun,Atun 讓我感到驚嚇。
paidahin yaku liaki atun.,「Atun 讓我感到驚嚇了。」,Atun pakengaw aku.,Atun 讓我感到驚嚇了。
pakatangiti ita haki taumala.,「政府讓我們生氣。」,Sefu paka-musaq ita.,政府讓我們生氣。
atun paka yaku a siatu teehen.,「Atun 讓我的衣服變黑。」,Atun pahei yifu ku.,Atun 讓我的衣服變黑。
atun paka yaku mudok dalum.,「Atun 讓我喝水。」,Atun paminum yaku danum.,Atun 讓我喝水。
apu tahayak.,「祖父很累。」,Apu sau hingu.,祖父很累。
paka tangiti ita haki taumala.,「政府讓我們生氣。」,zhengfu pa-shengqi ita,政府讓我們生氣。
paka ita tangiti haki ohoni a taumala.,「現在的政府讓我們生氣。」,Itaiza a zhengfu paka-saqi ita do.,現在的政府讓我們生氣。
"yaku a mama madiak yaku a suazi, pakamangit.",「我的哥哥討厭我的弟弟，把（他）弄哭。」,"kaka-ku ayaw adi-ku, pa-iyak iya.",我的哥哥討厭我的弟弟，把（他）弄哭。
yaku a mama ka paka yaku a suazi mangit.,「我的哥哥讓我的弟弟哭。」,mi-pa-iyak kaka=ku adi=ku,我的哥哥讓我的弟弟哭。
paka isiw mahabay taating.,「讓你舒服一點。」,pamapia isu diit,讓你舒服一點。
paka nita umu maziah.,「讓咱們的粿熟。」,pamasu-en kue no ita,讓咱們的粿熟。
atun paka yaku a siatu teehen.,「Atun 讓我的衣服變黑。」,Atun paka-hei ku yifu.,Atun 讓我的衣服變黑。
paka bauzak meken.,「讓豬吃。」,Pa-kan babuy.,讓豬吃。
yaku a aba paka yaku mukusa medepex.,「我的父親讓我去讀書。」,Ama ni yaku pa-musa yaku mi-iskul.,我的父親讓我去讀書。
apu ka paka yaku mubaza kaxabu a ahan.,「祖父讓我知道噶哈巫語。」,Apu ku pa-ita yaku sowal no Kaxabu.,祖父讓我知道噶哈巫語。
yaku a mama ka paka yaku a suazi mangit.,「我的哥哥讓我的弟弟哭。」,m-pa-tangis kaka-ku wawa-ku.,我的哥哥讓我的弟弟哭。
paka yaku matahatan haki imu.,「你們讓我高興。」,palipayen aku ni kamu,你們讓我高興。
atun paka yaku mudok dalum.,「Atun 讓我喝水。」,Atun painum aku ranum.,Atun 讓我喝水。
paka ita tangiti haki ohoni a taumala.,「現在的政府讓咱們生氣。」,Xianzai a zhengfu rang ita shengqi.,現在的政府讓咱們生氣。
pazakay’ina!,「請讓（他）走路！」,pakalakat iya!,請讓（他）走路！
pakita’ina!,「請讓（他）看！」,pita!,請讓（他）看！
pakan’ina!,「請讓（他）吃！」,pamakan iya!,請讓（他）吃！
nisiw a sibabun pakamataw’i haka saanu mutahay.,「讓你的鴨子大一點比較好殺。」,"Pakazua a patek no isu, mahay a buno.",讓你的鴨子大一點比較好殺。
pakahatiken’ina! ana halupas!,「請讓（它）短一點！不要長！」,"Pakaliti, miza laba!",請讓（它）短一點！不要長！
pakaisilaw’ina!,「請讓（它）白一點！」,Pa-lbux-en iya musa'!,請讓（它）白一點！
paka nita eten a saw maxuiakiak’i!,「讓我們村莊的人健壯！」,Pakawas tawo na banua ta!,讓我們村莊的人健壯！
pakita’ina!,「請讓（他）看！」,paita!,請讓（他）看！
paakita’ina!,「請讓（兩人）相看。」,pa-si-mita dusa a tao,請讓（兩人）相看。
yaku a aba iu yaku a ina maakudungkudung.,「我的父親和母親互（以棍）打。」,Ama-ku ma ina-ku maki-sapak ni kayu.,我的父親和母親互（以棍）打。
"imidusa ka maxupapa muula, aubin liaka maatebetebe lia.",「這兩個先互罵，後來互捶。」,"Ini dusa mansa maki-baqi, karia maki-buxul.",這兩個先互罵，後來互捶。
yaku a mama iu yaku a suazi kaidisiw maaexetexet.,「我的哥哥和我的弟弟在那邊互摔。」,kaka-ku ma adi-ku misa-sangal ira,我的哥哥和我的弟弟在那邊互摔。
niam a atun iu kaiditshay akhéhén mamais maakitakita lia.,「我們的 Atun 和哪邊的女孩相看了。」,Atun nami ma bahi na imaiza a raw mi-ita na.,我們的 Atun 和哪邊的女孩相看了。
mama iu suazi kaidisiw maadudundudun.,「哥哥和弟弟在那邊相推」,I ira kaka ku adi makitulak.,哥哥和弟弟在那邊相推
kaidisiw mitubi liaka maa tadaw maatahaytahay.,「在那邊生氣然後拿刀互殺。」,"Iri shengqi, mulima pisaw, sapamatey.",在那邊生氣然後拿刀互殺。
atun ka haaput biluan.,「Atun 愛 Biluan。」,Atun maka’ay Biluan.,Atun 愛 Biluan。
atun iu biluan maakahaaput.,「Atun 和 Biluan 相愛。」,Atun aw Biluan misalisi.,Atun 和 Biluan 相愛。
abuk iu atun maxupapa.,「Abuk 和 Atun 相罵。」,Abuk ini Atun misraw.,Abuk 和 Atun 相罵。
yaku a aba iu ina maxupapa.,「我的父親和我的母親相罵。」,tama-ku kap tina-ku misasu,我的父親和我的母親相罵。
atun ka maisat talima.,「Atun 罵自己。」,Atun musa sika.,Atun 罵自己。
atun ka mututing talima.,「Atun 打自己。」,Atun masapak Atun.,Atun 打自己。
atun haaput talima.,「Atun 愛自己。」,Atun ai ziji.,Atun 愛自己。
atun ka maisat talima.,「Atun 罵自己。」,Atun maki sadili.,Atun 罵自己。
atun ka maahan talima.,「Atun 騙自己。」,Atun misuad nia kaka.,Atun 騙自己。
atun ka maisat biluan.,「Atun 罵 Biluan。」,Atun ma Biluan.,Atun 罵 Biluan。
atun ka maahan talima.,「Atun 騙 Biluan。」,Mapian ci Atun ci Biluan.,Atun 騙 Biluan。
aba ka mututing talima a mamais.,「父親打自己的妻子。」,ama misapu vavayan ni iza.,父親打自己的妻子。
"ina ka nang a musinaw siatu, paka talima a akhéhén talima musinaw.",「母親不想洗衣服，讓自己的小孩自己洗。」,"Ina ini m-labu kuwas, pa-ila sunis na m-labu kuwas.",母親不想洗衣服，讓自己的小孩自己洗。
yaku a apu talima malaleng.,「我的祖父自己住。」,Apu ni yaku mi-isa.,我的祖父自己住。
yaku a apu talima mudawan.,「我的祖父自己洗澡。」,Musa’ apu=ku.,我的祖父自己洗澡。
atun ka talima mukusa madu tilikas.,「Atun 自己去放陷阱。」,Atun siki manga pabubu.,Atun 自己去放陷阱。
yaku talima mukusa mataw eten.,「我自己去街上」,yaku ini musa ni lalan,我自己去街上
apu ka talima meken eezaw.,「祖父自己吃而已。」,Apu kuman saisa la.,祖父自己吃而已。
atun ka talima mukukusa eezaw.,「Atun 自己工作而已。」,Atun kingcu ini.,Atun 自己工作而已。
yaku ka nang a talima meken.,「我不想自己吃。」,Yaku ini musa mangan maisa.,我不想自己吃。
"yaku a apu talima malaleng, iu talima meken eezaw.",「我的祖父自己住，也自己吃而已。」,"apu=ku misa i luma=na, ani misa mangan to.",我的祖父自己住，也自己吃而已。
imini ka dukun.,「這是芋頭。」,Ini a tales.,這是芋頭。
dukun haki imini.,「這是芋頭。」,Tales ini.,這是芋頭。
atun ka kaxabu a saw.,「Atun 是噶哈巫人。」,Atun Kaxabu a tao,Atun 是噶哈巫人。
kaxabu a saw ki atun.,「Atun 是噶哈巫人。」,Kaxabu ka Atun.,Atun 是噶哈巫人。
ita ka tatawan a saw.,「咱們是臺灣人。」,Ita tau ni Taiwan.,咱們是臺灣人。
yaku ka mamaneng a saw.,「我是男人。」,Yaku laki.,我是男人。
imisiw ka takat.,「他是老師。」,iya sinsi.,他是老師。
imini ka dukun.,「這是芋頭。」,Ini a tales.,這是芋頭。
imini a eten ka sianglukus.,「這個村莊是守城。」,Ini a banua a Shoucheng.,這個村莊是守城。
imisiw a saw ka atun.,「那個人是 Atun。」,ira Atun.,那個人是 Atun。
imini ka yaku a tatoko.,「這是我的拐杖。」,ini guaizhang-ku.,這是我的拐杖。
imini ka yaku a aba.,「這是我的爸爸。」,ini ama-ku.,這是我的爸爸。
imini ka yaku a aba a siatu.,「這是我爸爸的衣服。」,ini a bahi na ama-ku,這是我爸爸的衣服。
yaku (ka) mupuza lia.,「我來了。」,iza mali.,我來了。
atun (ka) mututing yaku.,「Atun 打我。」,Atun sabat yaku.,Atun 打我。
mupuza haki yaku.,「我來了。」,umali aku,我來了。
mututing yaku haki atun.,「Atun 打我。」,i Atun patik kani aku.,Atun 打我。
baget haki imini.,「他很胖。」,iya mataba.,他很胖。
balan mungazip titay lia.,「貓咬老鼠了。」,Pusi pinsul lausu.,貓咬老鼠了。
mungazip titay liaki balan.,「貓咬老鼠了。」,Kinagat pusi lausu.,貓咬老鼠了。
yaku a balax ka sakaw’en saw lia.,「我的工具被人拿了。」,na-ala gamit-ku ni tau,我的工具被人拿了。
titay ngazip’en ni balan lia.,「老鼠被貓咬了。」,Ka ziq-un ni pusi qniq.,老鼠被貓咬了。
yaku a pai deken’en naki a baba lia.,「我的錢被我的伯父撿了。」,Aka no ama ku kiam ku pising.,我的錢被我的伯父撿了。
salaman maa’en saw lia.,「碗被人拿了。」,na-ala-en uan,碗被人拿了。
maa’en saw liaki salaman.,「碗被人拿了。」,wan na-ala ni tao,碗被人拿了。
hébut’en saw liaki atun.,「Atun 被人打了。」,Na-pahi ci Atun.,Atun 被人打了。
yaku a pai sakaw’en sahat lia.,「我的錢被小偷偷了。」,Kuarta-ku na-ala no xiaotou,我的錢被小偷偷了。
titay ngazip’en ni balan lia.,「老鼠被貓咬了。」,ni-kalit-en no pusi ka tikus.,老鼠被貓咬了。
tuting’en ni aba liaki yaku.,「我被爸爸打了。」,iku mapuxul ni ama.,我被爸爸打了。
yaku mupuza lia.,「我來了。」,yaku mali.,我來了。
yaku kaidini mituku.,「我在這裡坐。」,Aku m-tugaw tu iza.,我在這裡坐。
imini a kato ka mainu.,「這李子是酸的喔。」,Masim lizi ini o.,這李子是酸的喔。
imini a tatoko hateken.,「這支枴杖很短。」,ini bastun mapidiq.,這支枴杖很短。
imini a tulala ka isilaw.,「這朵花是白色的。」,Bunga ini putiq.,這朵花是白色的。
atun mututing yaku.,「Atun 打我。」,insapuk iku ni Atun,Atun 打我。
isiw haaput tulala bo?,「你想要花嗎？」,musa isu bunga?,你想要花嗎？
atun ka kaxabu a saw.,「Atun 是噶哈巫人。」,Atun Kaxabu.,Atun 是噶哈巫人。
atun (ka) mututing yaku.,「Atun 沒有打我。」,Atun iza mpatek aku.,Atun 沒有打我。
laladan nahaza saaken.,「桌子（上）有菜餚。」,i tozi misa kakanen,桌子（上）有菜餚。
binayu nahaza binayu a bauzak.,「山（上）有山豬。」,i quliq mia vavuy.,山（上）有山豬。
umamah nahaza dadas.,「田（裡）有番薯。」,iza kamote i uma.,田（裡）有番薯。
"paka isiw paluzuakzuak’i, nahaza ali akhéhén!",「讓你多子多孫，有孫子、小孩！」,Pasu isu mnarux a anak ta apo!,讓你多子多孫，有孫子、小孩！
yaku iu nahaza pai.,「我也有錢。」,iza maza ada pising.,我也有錢。
nahaza saix haki nisiw a humak.,「你們家有屎。」,hay tae i rumaq ni kamu.,你們家有屎。
umamah kuang a dadas.,「田（裡）沒有番薯。」,Maiza a kumala i uma.,田（裡）沒有番薯。
binayu kuang a bauzak lia.,「山（上）沒有豬了。」,musa vavuy i byaq,山（上）沒有豬了。
yaku nahaza pai.,「我有錢。」,manga cinaw ni aku.,我有錢。
yaku nahaza mama iu iah.,「我有哥哥和姐姐。」,iza kaka=ku a lalaki ani kaka=ku a babai.,我有哥哥和姐姐。
yaku meken lia.,「我吃了。」,minakan yaku,我吃了。
imini a akhéhén mamay ka hinawiak.,「這小女孩很漂亮。」,ini a wawa a vavay masial.,這小女孩很漂亮。
yaku kuang a pai.,「我沒有錢。」,ini iza pising iku,我沒有錢。
yaku a apu kaidi angasat.,「我的祖母在床（上）。」,i cong a apu-ku,我的祖母在床（上）。
dadas kaidi umamah.,「番薯在田（裡）。」,Kumala i uma.,番薯在田（裡）。
saaken kaidi laladan.,「菜在桌（上）。」,kanen i teburu,菜在桌（上）。
yaku a apu kaidi angasat midem.,「我的祖母在床上睡覺。」,Vuvu-ku miturog i katre.,我的祖母在床上睡覺。
yaku a apu midem kaidi angasat.,「我的祖母在床上睡覺。」,Vuvu=ku turu i chuang.,我的祖母在床上睡覺。
angasat nahaza wazu.,「床上有狗。」,Miza asu i babaw ni chuang.,床上有狗。
angasat nahaza wazu kaidisiw midem.,「床上有狗在那邊睡覺。」,I kama ira mitudur a asu.,床上有狗在那邊睡覺。
dadas kuang a kaidi umamah.,「番薯沒有在田（裡）。」,ini kumaq i uma,番薯沒有在田（裡）。
kuang a saaken kaidi laladan.,「沒有菜餚在桌（上）。」,musa kakan i teburu.,沒有菜餚在桌（上）。
mungazip titay liaki balan.,「貓咬老鼠了。」,kinagat pusi tikus,貓咬老鼠了。
titay ngazip’en ni balan lia.,「老鼠被貓咬了。」,laoshu karaten ni pusi.,老鼠被貓咬了。
balan mungazip titay.,「貓咬老鼠。」,Mikagat daga pusi.,貓咬老鼠。
yaku a aitukuan doko’en saw lia.,「我的椅子被人抬走了。」,kadera=ku dinala ni isa a tao,我的椅子被人抬走了。
mungazip yaku haki wazu.,「狗咬我。」,Asu gigit yaku.,狗咬我。
mulawa liaki wazu.,「狗在吠。」,asu ma-auau.,狗在吠。
muasak liaki laladan.,「桌子壞掉了。」,toh mabali,桌子壞掉了。
tuting’en naki liaki wazu.,「狗被我打了。」,palu-en asu ni yaku,狗被我打了。
maa’en liaki salaman.,「碗被拿了。」,Na-ala ka wan.,碗被拿了。
