噶哈巫語,華語,模型翻譯
yaku meken dadas lia.,「我吃番薯了。」,yaku meken dadas lia.
niam a takat mututing atun lia.,「我們的老師打 Atun 了。」,nita a takat mututing atun lia.
tuting’en nisiw a aba lia.,「被你父親打了。」,tuting’en naki aba lia.
yaku a balax ka sakaw’en saw lia.,「我的工具被人偷了。」,yaku a balax ka sakaw’en saw lia.
yaku a aba meneken lia.,「我的父親吃完了。」,yaku a aba meneken lia.
meneken liaki yaku.,「我吃完了。」,yaku meken selem lia.
yaku haaput midem lia.,「我想要睡了。」,yaku haaput midem lia.
yaku mausay humak lia.,「我要回家了。」,yaku mausayu humak lia.
mudan lia.,「下雨了。」,mudan lia.
mabusuk lia.,「醉了。」,mabusuk lia.
tia lia.,「走了。」,sia lia.
mudawan muuput lia.,「（我）洗完澡了。」,mudawan liaki.
muuput a mudawan lia.,「（我）洗完澡了。」,mudawan muuput lia.
yaku a aba mukukusa iak lia.,「我的父親工作好了。」,yaku a aba maa’en kia lia.
musinaw iak liaka mausay palizak a lizak lia.,「洗好然後要去曬太陽了。」,imini siwak aliak eki hapoko axung’ikum.
mudawan iak lia iu mayaw?,「洗好了還是還沒？」,sinaw lia a.
yaku a apu mudawan iak lia.,「我的祖父洗澡洗好了。」,yaku a apu mudawan iak lia.
yaku kiikita babizu.,「我正在看書。」,yaku mayaw mubasa.
yaku haaput mikita isiw.,「我想要看你。」,yaku haaput mikita isiw.
yaku deedepex.,「我在讀書。」,yaku padecem mituku.
yaku a aba masu yaku mukusa medepex.,「我的爸爸帶我去讀書。」,yaku a aba ka alia duku mikita.
yaku a ina taatalek a saaken.,「我的母親正在煮菜。」,yaku a ina ka kahazip a basaken sumay.
yaku mausay mutalek a sumay.,「我要去煮飯。」,yaku mausay mukusa tatelen.
kaidisiw tuutuun hapuy haka yaku a suazi mamais.,「在那邊正在起火的人就是我的妹妹。」,kaidisiw tahayu mupu’una isiw a saw ma tausay yaku a baba.
isiw a apu ka duila tshay?,「你的祖父去哪裡？」,isiw a apu ka kaidi talima?
kaidi angasat maidem.,「在床上睡覺。」,kaidi angasat maahan.
atun midem mades lia.,「Atun 睡很久了。」,atun midu mades lia.
yaku maituku kaidini.,「我正坐在這裡。」,yaku maana kaidini.
yaku mituku kaidini.,「我坐在這裡。」,yaku mituku kaidini.
paihélut lia.,「在尿尿了。」,kaidi mudawan lia.
péhélut iak liaka haaput musinaw ima.,「尿尿之後要洗手。」,haaput a iitut muupayak iimaaw liimaaw.
maudan lia.,「正在下雨了。」,axeten mudan lia.
mudan lia.,「下雨了。」,mudan lia.
yaku ohoni kiikita babizu.,「我現在在看書。」,yaku ohoni kiikita babizu.
yaku ohoni meken sumay.,「我現在在吃飯。」,yaku ohoni meken sumay.
atun ohoni medeken yaku a tatoko.,「Atun 現在在撿我的拐杖。」,atun ohoni medeken yaku a tatoko.
usa mikita nuang hann!,「去看牛喔！」,usa mikita bauzak!
usa aai tadaw hann!,「去拿刀喔！」,usa kuaput’i na!
yaku mukusa mikita atun.,「我去看 Atun。」,yaku mukusa mikita atun.
dawan’i na!,「請洗澡！」,utuput’i na!
zakay’i na!,「請走路！」,salaman’i na!
taxa’i yaku na!,「請等我一下呀！」,pazakat yaku’honi!
sapik’i iu!,「貼藥！」,apu’i sai!
usa sinaw’i naki a siatu na!,「請去洗我的衣服！」,usa sinaw’i a siatu!
zuzut’i saaken iu sumay na!,「請裝菜和飯！」,maina’i siaki iu saanu!
sinaw’i siatu!,「洗衣服！」,sinaw’i siatu!
sinaw’i siatu na!,「請洗衣服！」,sinaw’i a siatu na!
isiw a pai suzuk’i!,「你的錢藏起來！」,isiw a pai daani haki a hake!
isiw meken dahu hann!,「你要吃多一點喔！」,isiw a haaput meken’ina hann!
alo tumala’ina!,「請來聽！」,alo pakek’ina!
alo sazek’ina!,「請來聞！」,usa wale se’en’i!
huailo midem!,「快睡！」,aluma midem!
huailo meken!,「快吃！」,maka’ina!
isiw pakinakaw!,「你慢慢地。」,isiw saanaxax.
pakinakaw a meken!,「慢慢吃！」,masyaw a meken!
yaku talima eezaw mupuza mikita atun haé.,「我自己來看 Atun 而已喔。」,yaku talima mupuza mikita atun eezah.
yaku a suazi meken ka maida hann.,「我的弟弟吃很快哦。」,yaku a saan maima seket hann.
yaku a apu madiak a muzakay.,「我的祖父走路走很慢。」,yaku a apu a muzakay muzakay a madi.
ana midem!,「別睡！」,ana midem!
idem’ina!,「請睡！」,idem’ina!
ana meken putian a iu!,「別吃毒品！」,ana meken kaidi a dalug a iu!
alo meken’i sumay!,「來吃飯！」,alo meken isu!
yami mututing a akhéhén.,「我們打小孩。」,yami mututing a akhéhén.
yaku musapoh a humak.,「我掃家裡。」,yaku mututing pana.
aba mututing yaku.,「父親打我。」,aba mututing yaku.
balan mukumuk titay.,「貓抓老鼠。」,balan mukumuk titay.
yaku ka meken sumay.,「我吃飯。」,yaku meken sumay.
imini ka musakaw yaku a pai.,「他偷我的錢。」,imini ka makahala yaku a pai.
yaku a aba ka maida a muzakay.,「我的父親走路很快。」,yaku a aba malalo ka siak.
yaku a aba muzakay maida.,「我的父親走路很快。」,yaku a aba muzakay maida.
mades a mituku lia.,「坐很久了。」,mituku mades lia.
mituku mades.,「坐很久。」,mituku mades.
"yaku a kaaw asikit azawzaw, nang a muzakay lia.",「我的腳非常痛，不能走。」,"yaku a kaaw asikit a tazuk, nang ka azawzaw."
yaku maakux azawzaw.,「我非常熱。」,yaku maakux azawzaw.
yaku haaput maa taating a selem mausay yaku a batan a humak.,「我要拿一些豬肉去我的朋友的家。」,yaku haaput tilikin bauzak mausay yaku a selem a maa tia taumama.
yaku a aba mahabay taating lia.,「我的父親舒服些了。」,yaku a aba mahabay taating lia.
yaku ka tahayak taating.,「我有一點累。」,yaku ka tiladas.
meken dahu liaka baget taating lia.,「我吃很多然後變胖一些了。」,yaku meken dahu azawzaw haki emi mamaxut lia.
midem taating.,「（我）睡一些。」,midem taating.
meseket taating.,「（我）休息一些。」,madem taating.
seket’i taating hann!,「休息一些哦！」,seket’i taating na!
yaku mausay medepex.,「我要來去讀書。」,yaku haaputusa isiw mukusa medemek.
yaku mubaza mukawat kaxabu a ahan.,「我會說噶哈巫的話。」,yaku mubaza isiw a ahan mukawas mukawas.
yaku haaput mikita isiw.,「我想要看你。」,yaku haaput mikita isiw.
yaku midahin.,「我感到驚嚇。」,yaku haapit takut.
atun paidahin yaku.,「Atun 讓我感到驚嚇。」,atun paidahin yaku.
yaku a takat pasibaza yaku matoway.,「我的老師教我唱歌。」（字面：我的老師使我會唱歌）,yaku a takat pasu yaku mikita umayakan.
yaku mubaza mukawat kaxabu a ahan.,「我會講噶哈巫的話。」,yaku mubaza mukawat kaxabu a ahan.
pazakay haka mubaza.,「讓（他）走路，（他）就會知道。」,paka maisimim ka haka mekeni.
"yaku a kaaw magizem hann, haaput muzakay.",「我的腳很健壯哦，愛走路。」,"yaku a mama hazekuan hann, thalais saisian."
pakamasezaw a nisiw a beket na!,「把你的頭髮弄乾淨一點吧！」,saluk’en nisidimanu hann!
yaku dauik ma ini mikita masezaw.,「我眼睛也沒有看清楚。」,yaku mitak’en kulax a musinaw.
isiw ka tahayak say?,「你累嗎？」,isiw ka tahayak say?
pakahalupat taating ka iak a saanu mikita.,「（你）讓（它）長一點，較好看。」,paihaka’i eten’i mitululu a selem.
patakan ka halupas.,「竹子很長。」,tabawan mahani a tilung.
biluan pakamuaping yaku a ukut.,「Biluan 弄破我的褲子。」,biluan talumazin yaku a awas.
isiw a ukut muaping lia.,「你的褲子破掉了。」,isiw a siatu liaki muran.
imisiw a akhéhén a siatu mupayak lia.,「那個小孩的衣服濕了」,imisiw a akhéhén a siatu maiak lia.
aba mututing yaku.,「父親打我。」,aba mututing yaku.
atun paidahin yaku.,「Atun 讓我感到驚嚇。」,atun paidahin yaku.
paidahin yaku liaki atun.,「Atun 讓我感到驚嚇了。」,atun paidahin yaku lia.
pakatangiti ita haki taumala.,「政府讓我們生氣。」,dazimaka tatamum a saw liupit.
atun paka yaku a siatu teehen.,「Atun 讓我的衣服變黑。」,atun paka yaku a siatu umakay.
atun paka yaku mudok dalum.,「Atun 讓我喝水。」,atun paka yaku mudok dalum.
apu tahayak.,「祖父很累。」,apo tahayak.
paka tangiti ita haki taumala.,「政府讓我們生氣。」,agaw mahani yami haki taumala.
paka ita tangiti haki ohoni a taumala.,「現在的政府讓我們生氣。」,paka ita tataala haki yami.
"yaku a mama madiak yaku a suazi, pakamangit.",「我的哥哥討厭我的弟弟，把（他）弄哭。」,"yaku a mama miisiw yaku a suazi, paka isiw azawh."
yaku a mama ka paka yaku a suazi mangit.,「我的哥哥讓我的弟弟哭。」,yaku a mama paka yaku a suazi takiak lia mahoy.
paka isiw mahabay taating.,「讓你舒服一點。」,paka isiw haaputana.
paka nita umu maziah.,「讓咱們的粿熟。」,paka mainitu iu tatam.
atun paka yaku a siatu teehen.,「Atun 讓我的衣服變黑。」,atun paka yaku a siatu mekenek.
paka bauzak meken.,「讓豬吃。」,paka bauzak inu meken.
yaku a aba paka yaku mukusa medepex.,「我的父親讓我去讀書。」,yaku a aba paka yaku mukusa medepex.
apu ka paka yaku mubaza kaxabu a ahan.,「祖父讓我知道噶哈巫語。」,apu ka paka yaku mubaza kaxabu a a saw.
yaku a mama ka paka yaku a suazi mangit.,「我的哥哥讓我的弟弟哭。」,yaku a mama paka yaku a suazi mangit.
paka yaku matahatan haki imu.,「你們讓我高興。」,paka yaku matahat a.
atun paka yaku mudok dalum.,「Atun 讓我喝水。」,atun paka yaku mudu dalum.
paka ita tangiti haki ohoni a taumala.,「現在的政府讓咱們生氣。」,okaida a kaam hatanu iu tangiti haki yami.
pazakay’ina!,「請讓（他）走路！」,pazahat’i!
pakita’ina!,「請讓（他）看！」,etene’i!
pakan’ina!,「請讓（他）吃！」,pakamaw’ina!
nisiw a sibabun pakamataw’i haka saanu mutahay.,「讓你的鴨子大一點比較好殺。」,paka a isiw a wale haxaw’i haki alawan.
pakahatiken’ina! ana halupas!,「請讓（它）短一點！不要長！」,pakait’ina! ana mataas!
pakaisilaw’ina!,「請讓（它）白一點！」,paki’i!
paka nita eten a saw maxuiakiak’i!,「讓我們村莊的人健壯！」,pazahemeet yami a balu a saw mahakiakusaw!
pakita’ina!,「請讓（他）看！」,pazakay’ina!
paakita’ina!,「請讓（兩人）相看。」,pakita'ina  yimu.
yaku a aba iu yaku a ina maakudungkudung.,「我的父親和母親互（以棍）打。」,yaku a aba iu vava mututing.
"imidusa ka maxupapa muula, aubin liaka maatebetebe lia.",「這兩個先互罵，後來互捶。」,"imini dusa hannam hannukhudud, laeka hannam habaaput."
yaku a mama iu yaku a suazi kaidisiw maaexetexet.,「我的哥哥和我的弟弟在那邊互摔。」,yaku a mama iu yaku a suazi kaidisiw tapusaw eea.
niam a atun iu kaiditshay akhéhén mamais maakitakita lia.,「我們的 Atun 和哪邊的女孩相看了。」,yami a atun iu maa a akwas takit’i mupuasat lia.
mama iu suazi kaidisiw maadudundudun.,「哥哥和弟弟在那邊相推」,mama iu suaziw kaidisik ohoni rumor.
kaidisiw mitubi liaka maa tadaw maatahaytahay.,「在那邊生氣然後拿刀互殺。」,kaidisiw haki aituan butukus axu mata kekebeleben.
atun ka haaput biluan.,「Atun 愛 Biluan。」,atun ka haaput biluan.
atun iu biluan maakahaaput.,「Atun 和 Biluan 相愛。」,atun maisat biluan.
abuk iu atun maxupapa.,「Abuk 和 Atun 相罵。」,abuk iu atun’in magadinak.
yaku a aba iu ina maxupapa.,「我的父親和我的母親相罵。」,yaku a aba iu yaku a ina iakéhéhéan.
atun ka maisat talima.,「Atun 罵自己。」,atun ka maisat talima.
atun ka mututing talima.,「Atun 打自己。」,atun ka mututing talima.
atun haaput talima.,「Atun 愛自己。」,atun haaput talima.
atun ka maisat talima.,「Atun 罵自己。」,atun ka maisat talima.
atun ka maahan talima.,「Atun 騙自己。」,atun ka haaput talima.
atun ka maisat biluan.,「Atun 罵 Biluan。」,atun iu mahapa biluan.
atun ka maahan talima.,「Atun 騙 Biluan。」,atun kaaken binatliuan.
aba ka mututing talima a mamais.,「父親打自己的妻子。」,aba mututing iu a ina mama.
"ina ka nang a musinaw siatu, paka talima a akhéhén talima musinaw.",「母親不想洗衣服，讓自己的小孩自己洗。」,"ina ka ini naxan mamake mamais, ala axaxas a akhéhén axaxas."
yaku a apu talima malaleng.,「我的祖父自己住。」,yaku a apu talima malaleng.
yaku a apu talima mudawan.,「我的祖父自己洗澡。」,yaku a apu talima mudawan.
atun ka talima mukusa madu tilikas.,「Atun 自己去放陷阱。」,atun ka talima mukusa saka tilikas.
yaku talima mukusa mataw eten.,「我自己去街上」,yaku talima mukusa utasat.
apu ka talima meken eezaw.,「祖父自己吃而已。」,apu sais meken eezaw.
atun ka talima mukukusa eezaw.,「Atun 自己工作而已。」,atun ka talima malima eezo.
yaku ka nang a talima meken.,「我不想自己吃。」,nini haka a inu meken.
"yaku a apu talima malaleng, iu talima meken eezaw.",「我的祖父自己住，也自己吃而已。」,"yaku a apu talima malaleng, iu talima meken a hann."
imini ka dukun.,「這是芋頭。」,imini ka dukun.
dukun haki imini.,「這是芋頭。」,imini ka dukun.
atun ka kaxabu a saw.,「Atun 是噶哈巫人。」,atun ka kaxabu a saw.
kaxabu a saw ki atun.,「Atun 是噶哈巫人。」,atun ka kaxabu a saw.
ita ka tatawan a saw.,「咱們是臺灣人。」,ita ka tatawan a saw.
yaku ka mamaneng a saw.,「我是男人。」,yaku ka utuk a saw.
imisiw ka takat.,「他是老師。」,imisiw ka takat.
imini ka dukun.,「這是芋頭。」,imini ka dukun.
imini a eten ka sianglukus.,「這個村莊是守城。」,imini a udax ka daalumasa saanu.
imisiw a saw ka atun.,「那個人是 Atun。」,imisiw a saw ka atun.
imini ka yaku a tatoko.,「這是我的拐杖。」,imini ka yaku a tatoko.
imini ka yaku a aba.,「這是我的爸爸。」,imini ka yaku a aba.
imini ka yaku a aba a siatu.,「這是我爸爸的衣服。」,imini ka yaku a aba a siatu.
yaku (ka) mupuza lia.,「我來了。」,yaku mupuza lia.
atun (ka) mututing yaku.,「Atun 打我。」,mututing yaku haki atun.
mupuza haki yaku.,「我來了。」,yaku mades lia.
mututing yaku haki atun.,「Atun 打我。」,mututing yaku haki atun.
baget haki imini.,「他很胖。」,imini ka balan.
balan mungazip titay lia.,「貓咬老鼠了。」,balan mungazip titay lia.
mungazip titay liaki balan.,「貓咬老鼠了。」,balan mungazip titay lia.
yaku a balax ka sakaw’en saw lia.,「我的工具被人拿了。」,yaku a balax ka sakaw’en saw lia.
titay ngazip’en ni balan lia.,「老鼠被貓咬了。」,titay ngazip’en ni balan lia.
yaku a pai deken’en naki a baba lia.,「我的錢被我的伯父撿了。」,yaku a pai e kaidi naki yaku a baba lian.
salaman maa’en saw lia.,「碗被人拿了。」,talus’en liaki seken kubaw.
maa’en saw liaki salaman.,「碗被人拿了。」,salaman maa’en saw lia.
hébut’en saw liaki atun.,「Atun 被人打了。」,atun ka saw musaxan lia.
yaku a pai sakaw’en sahat lia.,「我的錢被小偷偷了。」,yaku a pai deken’en saw musyuk lia.
titay ngazip’en ni balan lia.,「老鼠被貓咬了。」,titay ngazip’en ni balan lia.
tuting’en ni aba liaki yaku.,「我被爸爸打了。」,yaku’en saw musin lia.
yaku mupuza lia.,「我來了。」,yaku mupuza lia.
yaku kaidini mituku.,「我在這裡坐。」,yaku kaidini mituku.
imini a kato ka mainu.,「這李子是酸的喔。」,imini a bele ka kaakaw.
imini a tatoko hateken.,「這支枴杖很短。」,imini a tatoko a haluman.
imini a tulala ka isilaw.,「這朵花是白色的。」,imini a udang ka kuluq.
atun mututing yaku.,「Atun 打我。」,mututing yaku haki atun.
isiw haaput tulala bo?,「你想要花嗎？」,pakeze kaxxeméza tulaxo bo?
atun ka kaxabu a saw.,「Atun 是噶哈巫人。」,atun ka kaxabu a saw.
atun (ka) mututing yaku.,「Atun 沒有打我。」,atun mânik yaku.
laladan nahaza saaken.,「桌子（上）有菜餚。」,aasikaw nahaza mayak.
binayu nahaza binayu a bauzak.,「山（上）有山豬。」,binayu nahaza binayu a bauzak.
umamah nahaza dadas.,「田（裡）有番薯。」,kudua nahaza dadas.
"paka isiw paluzuakzuak’i, nahaza ali akhéhén!",「讓你多子多孫，有孫子、小孩！」,"paka isiw paluzuakzuakzuak, nahaza akhéhén!"
yaku iu nahaza pai.,「我也有錢。」,yaku iu nahaza pai.
nahaza saix haki nisiw a humak.,「你們家有屎。」,pakepén taating a humak.
umamah kuang a dadas.,「田（裡）沒有番薯。」,kaidi ini dahu dadas.
binayu kuang a bauzak lia.,「山（上）沒有豬了。」,binayu kuang a bauzak a bia.
yaku nahaza pai.,「我有錢。」,yaku nahaza pai.
yaku nahaza mama iu iah.,「我有哥哥和姐姐。」,yaku nahaza mama iu iah.
yaku meken lia.,「我吃了。」,yaku meken lia.
imini a akhéhén mamay ka hinawiak.,「這小女孩很漂亮。」,imini a akhéhén mamakliak.
yaku kuang a pai.,「我沒有錢。」,yaku kuang a pai.
yaku a apu kaidi angasat.,「我的祖母在床（上）。」,yaku a apu kaidi angasat.
dadas kaidi umamah.,「番薯在田（裡）。」,dadas kaidi humak.
saaken kaidi laladan.,「菜在桌（上）。」,cauan ka kaidi.
yaku a apu kaidi angasat midem.,「我的祖母在床上睡覺。」,yaku a apu kaidi angasat midem.
yaku a apu midem kaidi angasat.,「我的祖母在床上睡覺。」,yaku a apu kaidi angasat miditen.
angasat nahaza wazu.,「床上有狗。」,angasat nahaza wazu.
angasat nahaza wazu kaidisiw midem.,「床上有狗在那邊睡覺。」,angasat nahaza wazu kaidisiw midem.
dadas kuang a kaidi umamah.,「番薯沒有在田（裡）。」,dadas kuang a kaidi umama.
kuang a saaken kaidi laladan.,「沒有菜餚在桌（上）。」,ini a siw a tulun.
mungazip titay liaki balan.,「貓咬老鼠了。」,balan mungazip titay lia.
titay ngazip’en ni balan lia.,「老鼠被貓咬了。」,titay ngazip’en ni balan lia.
balan mungazip titay.,「貓咬老鼠。」,balan mungazip titay.
yaku a aitukuan doko’en saw lia.,「我的椅子被人抬走了。」,yaku a aitukuan dada mayaw lia.
mungazip yaku haki wazu.,「狗咬我。」,mungazip yaku haki wazu.
mulawa liaki wazu.,「狗在吠。」,mungazip tahay nu.
muasak liaki laladan.,「桌子壞掉了。」,muasi haki palumak lia.
tuting’en naki liaki wazu.,「狗被我打了。」,tuting’en naki liaki wazu.
maa’en liaki salaman.,「碗被拿了。」,salaman sasaken takis.
titay ngazip’en ni balan lia.,「老鼠被貓咬了。」,titay ngazip’en ni balan lia.
tuting’en ni aba lia.,「被爸爸打了。」,tuting’en ni aba lia.
mineken liaki yaku.,「我吃完了。」,yaku meken selesai lia.
yaku mineken lia.,「我吃完了。」,yaku meken selesai lia.
matahatan haki yaku.,「我真高興。」,yaku haapusi haimais.
nang a musapo daxe haki yaku.,「我討厭掃地。」,nang a musapo saeken haki yaku.
mahabay ki yaku.,「我很舒服。」,maakyak haki taating.
iak a lama ki isiw.,「你真好命。」,pakeki a saw!
tuting’en ni aba liaki yaku.,「我被爸爸打了。」,tuting’en ni aba liaki yaku.
tuting’en naki liaki wazu.,「狗被我打了。」,tuting’en naki liaki wazu.
sinaw’en naki lia.,「被我洗了。」,sinaw’en naki lia.
salaman maa’en naki lia.,「碗被我拿走了。」,salaman maa’en naki lia.
yami mututing a akhéhén.,「我們打小孩」,yami mututing siakli.
yaku mausay mutalek a sumay.,「我要來煮飯。」,yaku haaput mupuza sumay.
yaku meken sumay.,「我吃飯。」,yaku meken sumay.
balan mukumuk titay.,「貓抓老鼠。」,balan mukumuk titay.
yaku a haaput meken a hapus.,「我喜歡吃青苔。」,yaku a paidoh meken taitais.
yaku a baget lia.,「我胖了。」,yaku a siw liaki.
yaku a haaput pasezaw daxe.,「我喜歡使地板乾淨。」,yaku haaput paka aapuy a dalima.
yaku a ini mahabay taating.,「我不太舒服。」,yaku ini mahabay a inawan.
hébut’en saw liaki atun.,「Atun 被人打了。」,atun ka saw musyxaw lia.
yaku saisiman isiw.,「我很疼你。」,yaku saisiw isiw haki ining.
isiw saisiman yaku.,「你很疼我。」,isiw saisiman yaku.
balan mungazip titay.,「貓咬老鼠。」,balan mungazip titay.
aba mututing akhéhén.,「爸爸打小孩。」,aba mututing akhéhén.
yaku a balax ka sakaw’en saw lia.,「我的工具被人偷了。」,yaku a balax ka sakaw’en saw lia.
salaman maa’en naki lia.,「碗被我拿走了。」,salaman maa’en naki lia.
yaku a aitukuan doko’en saw lia.,「我的椅子被人抬走了。」,yaku a aitukuan doko’en saw lia.
binayu a bauzak kumuk’en naki a aba lia.,「山豬被我父親抓到了。」,kaikai nisiw mukusin ima a baba lia.
balan mungazip titay.,「貓咬老鼠。」,balan mungazip titay.
aba mututing akhéhén.,「爸爸打小孩。」,aba mututing akhéhén.
yaku ka meken sumay.,「我在吃飯。」,yaku ka meken sumay.
imisiw ka mututing wazu.,「他打狗。」,imisiw ka mututing wazu.
imisiw ka mututing wazu.,「他打狗。」,imisiw ka mututing wazu.
imini a wazu saanu imisiw mututing.,「這隻狗給他打。」,imini a wazu saanu imisiw mututing.
imini a wazu saanu imisiw mututing.,「這隻狗給他打。」,imini a wazu saanu imisiw mututing.
yaku saana hazian a saw maahan lia.,「我被壞人騙了。」,yaku saana hazian a saw taitus’en.
yaku a pai ka saana sahas maa dadua lia.,「我的錢被小偷全拿走了。」,yaku a pai chupu tang haki saaw lia.
yaku maa tulala saanu isiw.,「我拿花給你。」,yaku maa saanu isiw a iu.
yaku maa seme saanu nuang meken.,「我拿草給牛吃。」,yaku mupuut a beleben paimid taata.
yaku a akhéhén saanu takat mututing.,「我的小孩被老師打。」,yaku a akhéhén selem ka utong a takat liaki.
isiw a dalum saana yaku mudok lia.,「你的水被我喝了。」,isiw a dalum ku’en yaku mudok lia.
mulawa liaki wazu.,「狗在吠。」,mungazip tit’en haki wazu.
tuting’en ni aba liaki yaku.,「我被爸爸打了。」,tuting’en ni aba liaki yaku.
mungazip titay liaki balan.,「貓有咬老鼠了。」,balan ka muax azawx sayi.
imisiw a saw tangiti lia.,「那個人生氣了。」,imisiw a saw tangiti lia.
balan mungazip titay.,「貓咬老鼠。」,balan mungazip titay.
yaku ka kaxabu a saw.,「我是噶哈巫人。」,yaku ka kaxabu a saw.
imini ka uzay yaku a beleben.,「這不是我的香蕉。」,imini ka uzay yaku a beleben.
"yaku ka uzay kaxabu, iu uzay utakay. yaku ka tapulu.",「我不是噶哈巫，也不是客家人。我是閩南人。」,"yaku ka musi kaxabu, udah manuaki yaku ka aten. yaku asing a ilayat a."
yaku uzay meken dadas hann.,「我不是吃蕃薯哦。」,yaku uzay meken dadas hann.
yaku uzay mudok inusat. mudok dalum hann.,「我不是喝酒，是喝水哦。」,"yaku uzay mudawan iu, a mudawan dalan a."
yaku uzay meken dadas hann.,「我不是吃蕃薯哦。」,yaku uzay meken dadas hann.
yaku ini meken dadas hann.,「我沒有吃蕃薯哦。」,yaku ini meken dadas hann.
ohoni ini mudan.,「今天沒下雨。」,ohoni ini mudan.
mudan lia.,「下雨了。」,mudan lia.
yaku ini musinaw kaaw.,「我沒洗腳。」,yaku ini musinaw.
apu tahayak.,「祖父很累。」,apu tahayak.
apu ini tahayak.,「祖父不累。」,apu ka ini tait.
ini paka yaku tahayak.,「（你）沒有讓我累。」,ini paka yaku tahayak.
ini mahabay haki yaku.,「我不舒服。」,ini mahabay kiaku.
isiw ka tahayak say?,「你會累嗎？」,isiw ka tahayak say?
ini.,「不會。」,ini.
pakatahayak!,「讓你累了！／謝謝你！」,paka nisialima ian!
ini.,「不會。」（被感謝／稱讚時回應）,ini.
ini ini.,「不會、不會。」（被感謝／稱讚時之回應）,ini ini.
yaku nahaza pai.,「我有錢。」,yaku nahaza pai.
yaku kuang a pai.,「我沒有錢。」,yaku kuang a pai.
kuang a pai saanu medepex haki yami.,「我們沒有錢可以讀書。」,yami kuut dahu a pai humakay teezahat.
yaku ini meken sumay.,「我沒有吃飯。」,yaku ini meken sumay.
yaku kuang a pai.,「我沒有錢。」,yaku kuang a pai.
ana/ausin maida!,「（你）別那麼快！」,ana inisaw!
ana/ausin midem!,「（你）別睡！」,ana midem!
"yaku haaput mukusa binayu iak, iu ana mukusa iak.",「我要去山上好，還是不要去好？」,yaku haaput mukusa binayu iang a butu mukusa iang.
maana na.,「請等一下。」,exan’i haki.
nang a meken haput haki yaku.,「我討厭吃青苔。」,nang a meken iu i pai.
nang a musapo daxe haki yaku.,「我討厭掃地。」,hatudu maman liaki haki yaku.
nang a imini haki yaku.,「我不要這個。」,yaku mâput tuaping.
nang a mudalum a wazu haki yaku.,「我不要養狗。」,yaku ini haaput az dandaw a wazu.
sawan mamek nahaza udan asi kaung.,「今天沒下雨，明天則不知道有雨還是沒有。」,ohoni ini ka mamudan. ozaanu ohoni mayaw ka kaabu udanh.
sawan ini mubaza nahaza udan asi kaung.,「今天沒下雨。明天不知道有雨還是沒有。」,ohoni ini mudan. tausan iu liaka binayu iu mudan.
yaku ka meken sumay lia.,「我吃飯了。」,yaku meken sumay lia.
yaku mayaw meken sumay.,「我還沒吃飯。」,yaku mayaw meken sumay.
mayaw.,「還沒。」,mayaw.
yaku meken dadas.,「我吃蕃薯。」,yaku meken dadas.
yaku ini meken dadas.,「我沒有吃蕃薯。」,yaku ini meken dadas.
yaku nahaza pai.,「我有錢。」,yaku nahaza pai.
yaku kuang a pai.,「我沒有錢。」,yaku kuang a pai.
idem’i!,「睡！」,dalang’i!
ana midem!,「別睡！」,ana midem!
imisiw ka nisiw a wazu say?,「那是你的狗嗎？」,imisiw ka nisiw a wazu say?
isiw ka kaxabu say?,「你是噶哈巫（族）人嗎？」,isiw ka kaxabu say?
isiw musuling dadas say?,「你在烤地瓜嗎？」,isiw ka tatam dadas say?
isiw ka mututing yaku a wazu say?,「你打我的狗嗎？」,isiw ka mututing yaku a wazu say?
isiw ka tahayak say?,「你會累嗎？」,isiw ka tahayak say?
isiw ka ini tahayak say?,「你不累嗎？」,isiw ka ini tahayak say?
isiw ka utakay say?,「你是客家人嗎？」,isiw ka utakay a saw?
hauay.,「是的。」,hauay.
isiw ka mukusa mataw eten say?,「你是去街上嗎？」,isiw ka mukusa mataw eten say?
hauay. mukusa mubaiw taating a selem.,「是的。去買一些油。」,haaput mubaiw kiniw sikud a seet.
isiw ka nahaza imini bo?,「你有這個嗎？」,isiw ka nahaza imini bo?
isiw mausay muzakay bo?,「你要去走路嗎？」,isiw haaput muzakay madu’i iu?
isiw ka kaxabu say?,「你是噶哈巫（族）人嗎？」,isiw ka kaxabu say?
isiw ka kaxabu say?,「你是噶哈巫（族）人嗎？」,isiw ka kaxabu say?
imini ka nimu a beleben say?,「這是你們的香蕉嗎？」,imini ka nimu a beleben say?
isiw ka haaput meken dadas iu dukun?,「你要吃番薯還是芋頭？」,isiw ka haaput meken dadas iu dukun?
"yaku haaput mukusa binayu iak, iu ana mukusa iak?",「我去山上好，還是別去好？」,"yaku mukusa binayu iak, iu ana mukusa iak lia?"
imini ka kabas iu uzay?,「這是木板還是不是？」,imini ka sekeneku a bekenek?
mudawan iak lia iu mayaw?,「洗好了還是還沒？」,sinaw’en ohoni iu maisay?
isiw ka haaput tabako iu nang?,「你要斗笠還是不要？」,isiw ka mausu tamusu kiatebe?
yaku ka tapulu.,「我是閩南人。」,yaku ka thengnai a saw.
ima ki hazian?,「誰不好？」,ini mikahali’i iu?
isiw ka malaleng kaidi tshay?,「你住在哪裡？」,isiw ka malalade kaidi tshay?
yaku malaleng kaidi baisia.,「我住在牛眠。」,yaku meken ni maa.
